Event_ID	2D_hit_ID	Hit_center_U_strip_ID	Hit_center_V_strip_ID
0	0	2563	2307.5
0	1	2563	2369.5
0	2	2563	2379.5
0	3	2563	2393.5
0	4	2597	2369.5
0	5	2597	2379.5
0	6	2597	2393.5
0	7	2597	2419.5
1	0	3598	3042
1	1	3598	3133
1	2	3628.5	3133
1	3	3628.5	3144
1	4	3657.5	3133
1	5	3657.5	3144
1	6	3657.5	3170
2	0	1368	1369
2	1	1368	1414
2	2	1398.5	1369
2	3	1398.5	1414
2	4	1427.5	1369
2	5	1427.5	1414
2	6	1427.5	1451
2	7	1427.5	1458.5
2	8	1452	1414
2	9	1452	1451
2	10	1452	1458.5
2	11	1452	1470.5
2	12	1461	1414
2	13	1461	1451
2	14	1461	1458.5
2	15	1461	1470.5
3	0	2040.5	1832.5
3	1	2040.5	1837
3	2	2040.5	1866
3	3	2040.5	1881
3	4	2040.5	1884
3	5	2040.5	1907
3	6	2044	1832.5
3	7	2044	1837
3	8	2044	1866
3	9	2044	1881
3	10	2044	1884
3	11	2044	1907
3	12	2095	1866
3	13	2095	1881
3	14	2095	1884
3	15	2095	1907
3	16	2095	1943.5
4	0	1334.5	949
4	1	1334.5	976
4	2	1334.5	982
4	3	1334.5	995.5
4	4	1334.5	1019.5
4	5	1355	949
4	6	1355	976
4	7	1355	982
4	8	1355	995.5
4	9	1355	1019.5
4	10	1355	1028
4	11	1448	1019.5
4	12	1448	1028
4	13	1448	1043
4	14	1448	1052
4	15	1448	1066.5
4	16	1448	1070
4	17	1448	1073
4	18	1448	1075
4	19	1448	1081.5
5	0	1741	1515
5	1	1741	1542
5	2	1741	1549
5	3	1741	1557
5	4	1741	1581.5
5	5	1741	1590.5
5	6	1741	1597
5	7	1745	1515
5	8	1745	1542
5	9	1745	1549
5	10	1745	1557
5	11	1745	1581.5
5	12	1745	1590.5
5	13	1745	1597
5	14	1760	1515
5	15	1760	1542
5	16	1760	1549
5	17	1760	1557
5	18	1760	1581.5
5	19	1760	1590.5
5	20	1760	1597
5	21	1760	1604
5	22	1779.5	1542
5	23	1779.5	1549
5	24	1779.5	1557
5	25	1779.5	1581.5
5	26	1779.5	1590.5
5	27	1779.5	1597
5	28	1779.5	1604
5	29	1779.5	1613
5	30	1786.5	1542
5	31	1786.5	1549
5	32	1786.5	1557
5	33	1786.5	1581.5
5	34	1786.5	1590.5
5	35	1786.5	1597
5	36	1786.5	1604
5	37	1786.5	1613
5	38	1786.5	1629.5
5	39	1816	1549
5	40	1816	1557
5	41	1816	1581.5
5	42	1816	1590.5
5	43	1816	1597
5	44	1816	1604
5	45	1816	1613
5	46	1816	1629.5
5	47	1816	1636.5
5	48	1849	1581.5
5	49	1849	1590.5
5	50	1849	1597
5	51	1849	1604
5	52	1849	1613
5	53	1849	1629.5
5	54	1849	1636.5
6	0	2332	1726
6	1	2332	1730
6	2	2373.5	1726
6	3	2373.5	1730
6	4	2373.5	1751
6	5	2373.5	1763
6	6	2403.5	1726
6	7	2403.5	1730
6	8	2403.5	1751
6	9	2403.5	1763
6	10	2403.5	1782.5
6	11	2417	1726
6	12	2417	1730
6	13	2417	1751
6	14	2417	1763
6	15	2417	1782.5
6	16	2434	1726
6	17	2434	1730
6	18	2434	1751
6	19	2434	1763
6	20	2434	1782.5
6	21	2434	1799.5
6	22	2439	1726
6	23	2439	1763
6	24	2439	1782.5
6	25	2472	1751
6	26	2472	1763
6	27	2472	1782.5
6	28	2472	1799.5
7	0	2269	1685.5
