event_id blob_id cy cx iy ix y_strip x_strip area real_area
0 0 64.500000 14.000000 64 14 2393 2563 6 6
1 0 42.000000 28.000000 42 28 3042 3628 15 15
2 0 12.000000 47.500000 12 48 1414 1428 12 12
3 0 24.500000 8.500000 24 8 1837 2045 4 4
3 1 97.000000 8.500000 97 8 1979 2045 2 2
4 0 55.388889 23.777778 55 24 1019 1386 18 18
4 1 55.500000 19.000000 56 19 1020 1381 6 6
4 2 99.000000 19.000000 99 19 1065 1381 1 1
5 0 67.111111 43.777778 67 44 1560 1780 27 27
5 1 66.916667 51.916667 67 52 1560 1787 24 24
6 0 7.571429 48.714286 8 49 1725 2423 14 14
6 1 7.000000 1.000000 7 1 1724 2334 1 1
6 2 7.000000 31.000000 7 31 1724 2405 1 1
6 3 14.000000 30.000000 14 30 1731 2404 1 1
6 4 28.000000 30.000000 28 30 1750 2404 1 1
6 5 29.000000 49.000000 29 49 1751 2423 1 1
6 6 37.000000 9.000000 37 9 1761 2371 1 1
6 7 46.000000 1.000000 46 1 1782 2334 1 1
6 8 46.000000 10.000000 46 10 1782 2372 1 1
6 9 46.000000 65.000000 46 65 1782 2439 1 1
7 0 86.500000 30.000000 86 30 1759 2293 6 6
8 0 15.500000 28.000000 16 28 635 737 12 12
9 0 44.062500 45.812500 44 46 2013 2386 16 16
10 0 25.000000 29.500000 25 30 1740 1633 2 2
10 1 70.500000 30.000000 70 30 1809 1633 18 18
11 0 41.466667 41.266667 41 41 2891 3503 30 30
11 1 41.000000 33.000000 41 33 2891 3495 1 1
11 2 59.000000 33.000000 59 33 2917 3495 1 1
12 0 31.500000 18.500000 32 18 1544 1630 16 16
13 0 36.500000 34.000000 36 34 1015 843 20 20
14 0 35.125000 44.000000 35 44 941 816 8 8
14 1 44.000000 44.500000 44 44 950 816 20 20
14 2 68.000000 44.000000 68 44 1033 816 1 1
14 3 84.000000 44.000000 84 44 1053 816 1 1
15 0 79.000000 25.000000 79 25 1803 1684 1 1
16 0 60.000000 17.500000 60 18 2071 2372 6 6
17 0 34.000000 25.500000 34 26 1417 1337 2 2
17 1 39.000000 25.000000 39 25 1428 1336 1 1
17 2 43.000000 25.000000 43 25 1432 1336 1 1
18 0 65.500000 34.500000 66 34 1870 2256 4 4
19 0 34.000000 42.000000 34 42 848 826 1 1
19 1 34.500000 46.000000 34 46 848 830 2 2
20 0 23.000000 21.000000 23 21 1350 1985 1 1
20 1 27.000000 49.000000 27 49 1354 2029 3 3
20 2 27.000000 21.000000 27 21 1354 1985 1 1
20 3 53.000000 41.000000 53 41 1381 2021 1 1
20 4 125.000000 21.000000 125 21 1482 1985 1 1
20 5 131.000000 21.000000 131 21 1488 1985 1 1
21 0 37.000000 61.000000 37 61 2893 3445 1 1
21 1 62.500000 4.500000 62 4 2987 3342 4 4
22 0 40.000000 38.000000 40 38 2248 3004 1 1
23 0 1.000000 25.000000 1 25 992 1249 1 1
23 1 13.500000 32.000000 14 32 1017 1272 20 20
23 2 77.875000 32.000000 78 32 1126 1272 8 8
24 0 40.370370 15.907407 40 16 2356 2381 54 54
25 0 27.000000 31.000000 27 31 1967 2717 9 9
26 0 48.500000 43.000000 48 43 3127 3553 2 2
