event_id nfired_ustrips_inroi nfired_vstrips_inroi roi_ustrip_min roi_ustrip_max roi_vstrip_min roi_vstrip_max roi_u_width roi_v_width
0 30 65 2499.00000000 2649.00000000 2249.00000000 2461.00000000 150.00000000 212.00000000
1 106 227 501.00000000 849.00000000 429.00000000 1094.00000000 348.00000000 665.00000000
2 29 82 3511.00000000 3661.00000000 2966.00000000 3178.00000000 150.00000000 212.00000000
3 52 51 1353.00000000 1503.00000000 1299.00000000 1511.00000000 150.00000000 212.00000000
4 31 66 1976.00000000 2126.00000000 1781.00000000 1993.00000000 150.00000000 212.00000000
5 33 107 1311.00000000 1461.00000000 904.00000000 1116.00000000 150.00000000 212.00000000
6 72 135 1711.00000000 1861.00000000 1472.00000000 1684.00000000 150.00000000 212.00000000
7 65 52 2333.00000000 2483.00000000 1632.00000000 1845.00000000 150.00000000 213.00000000
8 42 90 2214.00000000 2364.00000000 1642.00000000 1854.00000000 150.00000000 212.00000000
9 35 33 660.00000000 810.00000000 522.00000000 735.00000000 150.00000000 213.00000000
10 71 59 2309.00000000 2459.00000000 1908.00000000 2120.00000000 150.00000000 212.00000000
11 29 87 1540.00000000 1690.00000000 1662.00000000 1874.00000000 150.00000000 212.00000000
12 49 67 3424.00000000 3574.00000000 2778.00000000 2990.00000000 150.00000000 212.00000000
13 19 57 1547.00000000 1697.00000000 1410.00000000 1622.00000000 150.00000000 212.00000000
14 52 51 771.00000000 921.00000000 928.00000000 1140.00000000 150.00000000 212.00000000
15 47 79 755.00000000 905.00000000 870.00000000 1082.00000000 150.00000000 212.00000000
16 37 89 1632.00000000 1782.00000000 1685.00000000 1897.00000000 150.00000000 212.00000000
17 23 83 2303.00000000 2453.00000000 1966.00000000 2178.00000000 150.00000000 212.00000000
18 42 68 1287.00000000 1437.00000000 1366.00000000 1578.00000000 150.00000000 212.00000000
19 56 101 2176.00000000 2326.00000000 1748.00000000 1960.00000000 150.00000000 212.00000000
20 56 45 746.00000000 896.00000000 743.00000000 955.00000000 150.00000000 212.00000000
21 61 186 425.00000000 766.00000000 638.00000000 1266.00000000 341.00000000 628.00000000
22 40 122 1915.00000000 2065.00000000 1316.00000000 1528.00000000 150.00000000 212.00000000
23 48 60 3327.00000000 3477.00000000 2829.00000000 3041.00000000 150.00000000 212.00000000
24 37 60 2925.00000000 3075.00000000 2144.00000000 2356.00000000 150.00000000 212.00000000
25 59 91 1203.00000000 1353.00000000 974.00000000 1186.00000000 150.00000000 212.00000000
26 55 108 2300.00000000 2450.00000000 2314.00000000 2526.00000000 150.00000000 212.00000000
27 61 281 368.00000000 711.00000000 651.00000000 1274.00000000 343.00000000 623.00000000
28 27 78 2637.00000000 2787.00000000 1881.00000000 2094.00000000 150.00000000 213.00000000
29 48 46 3441.00000000 3591.00000000 2985.00000000 3197.00000000 150.00000000 212.00000000
30 5 17 454.00000000 604.00000000 418.00000000 630.00000000 150.00000000 212.00000000
31 68 175 752.00000000 1046.00000000 1015.00000000 1591.00000000 294.00000000 576.00000000
32 21 78 1507.00000000 1657.00000000 1578.00000000 1790.00000000 150.00000000 212.00000000
33 83 94 2642.00000000 2792.00000000 2290.00000000 2502.00000000 150.00000000 212.00000000
34 33 99 2108.00000000 2258.00000000 2094.00000000 2307.00000000 150.00000000 213.00000000
35 92 119 1070.00000000 1220.00000000 1054.00000000 1266.00000000 150.00000000 212.00000000
