method event_id object_id pred_U pred_V truth_U_centroid truth_V_centroid truth_U_min truth_U_max truth_V_min truth_V_max n_truth_U n_truth_V truth_hit_size_2d truth_hit_size_1d residual_U residual_V residual_R abs_residual_U abs_residual_V
CURRENT 0 3 2563.00000000 2393.50000000 2563.00000000 2393.50000000 2562.00000000 2564.00000000 2393.00000000 2394.00000000 3 2 6 5 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
CURRENT 1 11 604.50000000 564.00000000 590.50000000 564.00000000 588.00000000 593.00000000 562.00000000 566.00000000 6 5 30 11 14.00000000 0.00000000 14.00000000 14.00000000 0.00000000
CURRENT 2 0 3598.00000000 3042.00000000 3628.50000000 3042.00000000 3627.00000000 3630.00000000 3041.00000000 3043.00000000 4 3 12 7 -30.50000000 0.00000000 30.50000000 30.50000000 0.00000000
CURRENT 3 5 1427.50000000 1414.00000000 1427.50000000 1414.00000000 1426.00000000 1429.00000000 1413.00000000 1415.00000000 4 3 12 7 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
CURRENT 4 10 2044.00000000 1884.00000000 2045.00000000 1887.00000000 2044.00000000 2046.00000000 1887.00000000 1887.00000000 3 1 3 4 -1.00000000 -3.00000000 3.16227766 1.00000000 3.00000000
CURRENT 5 9 1355.00000000 1019.50000000 1385.00000000 1021.00000000 1385.00000000 1385.00000000 1021.00000000 1021.00000000 1 1 1 2 -30.00000000 -1.50000000 30.03747659 30.00000000 1.50000000
CURRENT 6 24 1779.50000000 1557.00000000 1779.50000000 1559.50000000 1778.00000000 1781.00000000 1558.00000000 1561.00000000 4 4 16 8 0.00000000 -2.50000000 2.50000000 0.00000000 2.50000000
CURRENT 7 11 2417.00000000 1726.00000000 2423.00000000 1724.00000000 2422.00000000 2424.00000000 1723.00000000 1725.00000000 3 3 9 6 -6.00000000 2.00000000 6.32455532 6.00000000 2.00000000
CURRENT 8 8 2293.00000000 1759.50000000 2293.00000000 1759.00000000 2292.00000000 2294.00000000 1759.00000000 1759.00000000 3 1 3 4 0.00000000 0.50000000 0.50000000 0.00000000 0.50000000
CURRENT 9 6 737.00000000 634.50000000 737.00000000 634.50000000 736.00000000 738.00000000 633.00000000 636.00000000 3 4 12 7 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
CURRENT 10 8 2384.50000000 2013.00000000 2385.00000000 2013.00000000 2383.00000000 2387.00000000 2012.00000000 2014.00000000 5 3 15 8 -0.50000000 0.00000000 0.50000000 0.50000000 0.00000000
CURRENT 11 5 1634.50000000 1810.50000000 1633.00000000 1811.00000000 1632.00000000 1634.00000000 1810.00000000 1812.00000000 3 3 9 6 1.50000000 -0.50000000 1.58113883 1.50000000 0.50000000
CURRENT 12 11 3503.50000000 2891.50000000 3503.00000000 2891.50000000 3501.00000000 3505.00000000 2890.00000000 2893.00000000 5 4 20 9 0.50000000 0.00000000 0.50000000 0.50000000 0.00000000
CURRENT 13 6 1630.50000000 1543.50000000 1630.50000000 1543.50000000 1629.00000000 1632.00000000 1542.00000000 1545.00000000 4 4 16 8 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
CURRENT 14 6 843.00000000 1016.00000000 843.00000000 1016.00000000 841.00000000 845.00000000 1015.00000000 1017.00000000 5 3 15 8 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
