event_id,n_u_fired,n_v_fired,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,n_uv_fired_sum,n_uv_fired_product,roi_u_width,roi_v_width,roi_uv_width_product,ML_success,CURRENT_success
452,31,65,2499.0,2649.0,2249.0,2461.0,96,2015,151.0,213.0,32163.0,True,True
458,106,227,501.0,849.0,429.0,1094.0,333,24062,349.0,666.0,232434.0,True,True
461,30,82,3511.0,3661.0,2966.0,3178.0,112,2460,151.0,213.0,32163.0,True,True
462,52,51,1353.0,1503.0,1299.0,1511.0,103,2652,151.0,213.0,32163.0,True,True
465,32,67,1976.0,2126.0,1781.0,1993.0,99,2144,151.0,213.0,32163.0,True,False
467,33,107,1311.0,1461.0,904.0,1116.0,140,3531,151.0,213.0,32163.0,False,True
471,72,135,1711.0,1861.0,1472.0,1684.0,207,9720,151.0,213.0,32163.0,True,True
474,66,52,2333.0,2483.0,1632.0,1845.0,118,3432,151.0,214.0,32314.0,True,False
476,42,91,2214.0,2364.0,1642.0,1854.0,133,3822,151.0,213.0,32163.0,False,False
480,35,33,660.0,810.0,522.0,735.0,68,1155,151.0,214.0,32314.0,True,True
482,71,61,2309.0,2459.0,1908.0,2120.0,132,4331,151.0,213.0,32163.0,True,True
492,30,87,1540.0,1690.0,1662.0,1874.0,117,2610,151.0,213.0,32163.0,False,True
494,50,68,3424.0,3574.0,2778.0,2990.0,118,3400,151.0,213.0,32163.0,True,False
495,20,57,1547.0,1697.0,1410.0,1622.0,77,1140,151.0,213.0,32163.0,True,False
497,53,52,771.0,921.0,928.0,1140.0,105,2756,151.0,213.0,32163.0,True,False
503,48,80,755.0,905.0,870.0,1082.0,128,3840,151.0,213.0,32163.0,True,False
504,37,90,1632.0,1782.0,1685.0,1897.0,127,3330,151.0,213.0,32163.0,True,True
506,23,84,2303.0,2453.0,1966.0,2178.0,107,1932,151.0,213.0,32163.0,True,False
508,43,68,1287.0,1437.0,1366.0,1578.0,111,2924,151.0,213.0,32163.0,True,True
514,58,102,2176.0,2326.0,1748.0,1960.0,160,5916,151.0,213.0,32163.0,False,False
518,56,45,746.0,896.0,743.0,955.0,101,2520,151.0,213.0,32163.0,False,True
523,61,187,425.0,766.0,638.0,1266.0,248,11407,342.0,629.0,215118.0,True,False
528,40,122,1915.0,2065.0,1316.0,1528.0,162,4880,151.0,213.0,32163.0,True,True
535,49,60,3327.0,3477.0,2829.0,3041.0,109,2940,151.0,213.0,32163.0,True,True
537,38,60,2925.0,3075.0,2144.0,2356.0,98,2280,151.0,213.0,32163.0,False,True
549,61,91,1203.0,1353.0,974.0,1186.0,152,5551,151.0,213.0,32163.0,True,True
550,55,110,2300.0,2450.0,2314.0,2526.0,165,6050,151.0,213.0,32163.0,True,True
554,62,282,368.0,711.0,651.0,1274.0,344,17484,344.0,624.0,214656.0,False,False
555,27,79,2637.0,2787.0,1881.0,2094.0,106,2133,151.0,214.0,32314.0,False,False
556,48,46,3441.0,3591.0,2985.0,3197.0,94,2208,151.0,213.0,32163.0,True,False
559,5,17,454.0,604.0,418.0,630.0,22,85,151.0,213.0,32163.0,False,False
560,69,175,752.0,1046.0,1015.0,1591.0,244,12075,295.0,577.0,170215.0,True,False
561,21,80,1507.0,1657.0,1578.0,1790.0,101,1680,151.0,213.0,32163.0,False,False
568,85,95,2642.0,2792.0,2290.0,2502.0,180,8075,151.0,213.0,32163.0,True,True
573,34,100,2108.0,2258.0,2094.0,2307.0,134,3400,151.0,214.0,32314.0,True,True
574,93,120,1070.0,1220.0,1054.0,1266.0,213,11160,151.0,213.0,32163.0,True,True
575,23,97,1950.0,2100.0,1477.0,1689.0,120,2231,151.0,213.0,32163.0,True,True
577,27,49,2368.0,2518.0,1990.0,2202.0,76,1323,151.0,213.0,32163.0,False,True
589,59,96,2857.0,3007.0,2110.0,2323.0,155,5664,151.0,214.0,32314.0,True,True
592,49,65,2682.0,2832.0,1945.0,2157.0,114,3185,151.0,213.0,32163.0,True,False
600,57,91,2452.0,2602.0,2232.0,2444.0,148,5187,151.0,213.0,32163.0,True,True
604,21,51,2681.0,2831.0,2482.0,2694.0,72,1071,151.0,213.0,32163.0,True,True
606,56,105,2047.0,2197.0,1608.0,1821.0,161,5880,151.0,214.0,32314.0,False,True
608,35,66,2107.0,2257.0,1613.0,1825.0,101,2310,151.0,213.0,32163.0,True,True
610,19,52,1496.0,1646.0,1537.0,1750.0,71,988,151.0,214.0,32314.0,True,True
