event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_size,roi_v_size,roi_uv_size_sum,roi_2d_size,roi_max_width,ML_success,CURRENT_success
452,2499.0,2649.0,2249.0,2461.0,151.0,213.0,364.0,32163.0,213.0,True,True
458,501.0,849.0,429.0,1094.0,349.0,666.0,1015.0,232434.0,666.0,True,True
461,3511.0,3661.0,2966.0,3178.0,151.0,213.0,364.0,32163.0,213.0,True,True
462,1353.0,1503.0,1299.0,1511.0,151.0,213.0,364.0,32163.0,213.0,True,True
465,1976.0,2126.0,1781.0,1993.0,151.0,213.0,364.0,32163.0,213.0,True,False
467,1311.0,1461.0,904.0,1116.0,151.0,213.0,364.0,32163.0,213.0,False,True
471,1711.0,1861.0,1472.0,1684.0,151.0,213.0,364.0,32163.0,213.0,True,True
474,2333.0,2483.0,1632.0,1845.0,151.0,214.0,365.0,32314.0,214.0,True,False
476,2214.0,2364.0,1642.0,1854.0,151.0,213.0,364.0,32163.0,213.0,False,False
480,660.0,810.0,522.0,735.0,151.0,214.0,365.0,32314.0,214.0,True,True
482,2309.0,2459.0,1908.0,2120.0,151.0,213.0,364.0,32163.0,213.0,True,True
492,1540.0,1690.0,1662.0,1874.0,151.0,213.0,364.0,32163.0,213.0,False,True
494,3424.0,3574.0,2778.0,2990.0,151.0,213.0,364.0,32163.0,213.0,True,False
495,1547.0,1697.0,1410.0,1622.0,151.0,213.0,364.0,32163.0,213.0,True,False
497,771.0,921.0,928.0,1140.0,151.0,213.0,364.0,32163.0,213.0,True,False
503,755.0,905.0,870.0,1082.0,151.0,213.0,364.0,32163.0,213.0,True,False
504,1632.0,1782.0,1685.0,1897.0,151.0,213.0,364.0,32163.0,213.0,True,True
506,2303.0,2453.0,1966.0,2178.0,151.0,213.0,364.0,32163.0,213.0,True,False
508,1287.0,1437.0,1366.0,1578.0,151.0,213.0,364.0,32163.0,213.0,True,True
514,2176.0,2326.0,1748.0,1960.0,151.0,213.0,364.0,32163.0,213.0,False,False
518,746.0,896.0,743.0,955.0,151.0,213.0,364.0,32163.0,213.0,False,True
523,425.0,766.0,638.0,1266.0,342.0,629.0,971.0,215118.0,629.0,True,False
528,1915.0,2065.0,1316.0,1528.0,151.0,213.0,364.0,32163.0,213.0,True,True
535,3327.0,3477.0,2829.0,3041.0,151.0,213.0,364.0,32163.0,213.0,True,True
537,2925.0,3075.0,2144.0,2356.0,151.0,213.0,364.0,32163.0,213.0,False,True
549,1203.0,1353.0,974.0,1186.0,151.0,213.0,364.0,32163.0,213.0,True,True
550,2300.0,2450.0,2314.0,2526.0,151.0,213.0,364.0,32163.0,213.0,True,True
554,368.0,711.0,651.0,1274.0,344.0,624.0,968.0,214656.0,624.0,False,False
555,2637.0,2787.0,1881.0,2094.0,151.0,214.0,365.0,32314.0,214.0,False,False
556,3441.0,3591.0,2985.0,3197.0,151.0,213.0,364.0,32163.0,213.0,True,False
559,454.0,604.0,418.0,630.0,151.0,213.0,364.0,32163.0,213.0,False,False
560,752.0,1046.0,1015.0,1591.0,295.0,577.0,872.0,170215.0,577.0,True,False
561,1507.0,1657.0,1578.0,1790.0,151.0,213.0,364.0,32163.0,213.0,False,False
568,2642.0,2792.0,2290.0,2502.0,151.0,213.0,364.0,32163.0,213.0,True,True
573,2108.0,2258.0,2094.0,2307.0,151.0,214.0,365.0,32314.0,214.0,True,True
574,1070.0,1220.0,1054.0,1266.0,151.0,213.0,364.0,32163.0,213.0,True,True
575,1950.0,2100.0,1477.0,1689.0,151.0,213.0,364.0,32163.0,213.0,True,True
577,2368.0,2518.0,1990.0,2202.0,151.0,213.0,364.0,32163.0,213.0,False,True
589,2857.0,3007.0,2110.0,2323.0,151.0,214.0,365.0,32314.0,214.0,True,True
592,2682.0,2832.0,1945.0,2157.0,151.0,213.0,364.0,32163.0,213.0,True,False
600,2452.0,2602.0,2232.0,2444.0,151.0,213.0,364.0,32163.0,213.0,True,True
604,2681.0,2831.0,2482.0,2694.0,151.0,213.0,364.0,32163.0,213.0,True,True
606,2047.0,2197.0,1608.0,1821.0,151.0,214.0,365.0,32314.0,214.0,False,True
608,2107.0,2257.0,1613.0,1825.0,151.0,213.0,364.0,32163.0,213.0,True,True
610,1496.0,1646.0,1537.0,1750.0,151.0,214.0,365.0,32314.0,214.0,True,True
613,1637.0,1787.0,1210.0,1422.0,151.0,213.0,364.0,32163.0,213.0,True,True
614,3073.0,3361.0,2770.0,3129.0,289.0,360.0,649.0,104040.0,360.0,True,False
615,2340.0,2490.0,2121.0,2333.0,151.0,213.0,364.0,32163.0,213.0,False,False
620,1460.0,1610.0,1550.0,1762.0,151.0,213.0,364.0,32163.0,213.0,True,True
621,1472.0,1622.0,1184.0,1396.0,151.0,213.0,364.0,32163.0,213.0,False,False
629,1987.0,2137.0,1721.0,1934.0,151.0,214.0,365.0,32314.0,214.0,False,True
630,1452.0,1602.0,1327.0,1539.0,151.0,213.0,364.0,32163.0,213.0,True,False
631,2322.0,2472.0,1779.0,1991.0,151.0,213.0,364.0,32163.0,213.0,True,True
635,3472.0,3622.0,2980.0,3192.0,151.0,213.0,364.0,32163.0,213.0,True,True
637,1434.0,1584.0,1162.0,1374.0,151.0,213.0,364.0,32163.0,213.0,True,True
638,773.0,923.0,822.0,1035.0,151.0,214.0,365.0,32314.0,214.0,False,False
643,1854.0,2004.0,1601.0,1814.0,151.0,214.0,365.0,32314.0,214.0,True,True
647,1285.0,1435.0,1497.0,1709.0,151.0,213.0,364.0,32163.0,213.0,True,False
650,1337.0,1487.0,921.0,1133.0,151.0,213.0,364.0,32163.0,213.0,True,True
656,1875.0,2025.0,1578.0,1790.0,151.0,213.0,364.0,32163.0,213.0,True,False
660,1825.0,1975.0,1393.0,1605.0,151.0,213.0,364.0,32163.0,213.0,False,True
661,1420.0,1570.0,1034.0,1246.0,151.0,213.0,364.0,32163.0,213.0,True,True
665,1576.0,1726.0,1640.0,1852.0,151.0,213.0,364.0,32163.0,213.0,True,True
672,2290.0,2440.0,1972.0,2185.0,151.0,214.0,365.0,32314.0,214.0,True,False
674,3325.0,3475.0,2819.0,3032.0,151.0,214.0,365.0,32314.0,214.0,False,False
675,1329.0,1479.0,1561.0,1773.0,151.0,213.0,364.0,32163.0,213.0,True,True
677,2416.0,2566.0,1952.0,2165.0,151.0,214.0,365.0,32314.0,214.0,True,False
680,554.0,704.0,538.0,750.0,151.0,213.0,364.0,32163.0,213.0,True,False
681,1065.0,1327.0,1167.0,1727.0,263.0,561.0,824.0,147543.0,561.0,True,False
685,2057.0,2207.0,1469.0,1681.0,151.0,213.0,364.0,32163.0,213.0,True,False
686,3045.0,3195.0,2550.0,2762.0,151.0,213.0,364.0,32163.0,213.0,False,True
688,3255.0,3405.0,2790.0,3003.0,151.0,214.0,365.0,32314.0,214.0,True,True
691,1296.0,1446.0,1431.0,1644.0,151.0,214.0,365.0,32314.0,214.0,True,True
696,2040.0,2200.0,1212.0,1769.0,161.0,558.0,719.0,89838.0,558.0,True,False
700,2044.0,2194.0,1807.0,2019.0,151.0,213.0,364.0,32163.0,213.0,True,False
701,3013.0,3163.0,2710.0,2922.0,151.0,213.0,364.0,32163.0,213.0,True,True
702,868.0,1152.0,1042.0,1617.0,285.0,576.0,861.0,164160.0,576.0,True,True
713,1304.0,1554.0,926.0,1526.0,251.0,601.0,852.0,150851.0,601.0,True,True
715,2156.0,2306.0,1805.0,2017.0,151.0,213.0,364.0,32163.0,213.0,True,True
717,816.0,966.0,942.0,1154.0,151.0,213.0,364.0,32163.0,213.0,True,True
719,2567.0,2717.0,2355.0,2568.0,151.0,214.0,365.0,32314.0,214.0,True,True
720,1874.0,2024.0,1719.0,1931.0,151.0,213.0,364.0,32163.0,213.0,True,True
723,1398.0,1548.0,1567.0,1779.0,151.0,213.0,364.0,32163.0,213.0,True,True
724,2807.0,2957.0,2456.0,2668.0,151.0,213.0,364.0,32163.0,213.0,True,True
