strip_tolerance success_count_CPP success_count_ML efficiency_CPP efficiency_ML
0 1511.00000000 1336.00000000 0.15685664 0.13868992
1 4633.00000000 7273.00000000 0.48095090 0.75500882
2 5715.00000000 7578.00000000 0.59327312 0.78667082
3 6012.00000000 7644.00000000 0.62410464 0.79352227
4 6202.00000000 7695.00000000 0.64382851 0.79881657
5 6345.00000000 7742.00000000 0.65867331 0.80369563
6 6443.00000000 7763.00000000 0.66884667 0.80587564
7 6539.00000000 7792.00000000 0.67881242 0.80888612
8 6622.00000000 7811.00000000 0.68742863 0.81085851
9 6696.00000000 7834.00000000 0.69511056 0.81324613
10 6762.00000000 7856.00000000 0.70196201 0.81552995
11 6832.00000000 7879.00000000 0.70922869 0.81791758
12 6915.00000000 7903.00000000 0.71784491 0.82040901
13 6993.00000000 7926.00000000 0.72594207 0.82279664
14 7078.00000000 7947.00000000 0.73476591 0.82497664
15 7138.00000000 7964.00000000 0.74099450 0.82674141
16 7208.00000000 7985.00000000 0.74826119 0.82892142
17 7269.00000000 8006.00000000 0.75459358 0.83110142
18 7335.00000000 8023.00000000 0.76144503 0.83286619
19 7400.00000000 8051.00000000 0.76819267 0.83577286
20 7447.00000000 8075.00000000 0.77307173 0.83826430
21 7487.00000000 8094.00000000 0.77722413 0.84023669
22 7541.00000000 8116.00000000 0.78282986 0.84252050
23 7593.00000000 8136.00000000 0.78822797 0.84459670
24 7648.00000000 8148.00000000 0.79393751 0.84584242
25 7710.00000000 8179.00000000 0.80037372 0.84906052
