event_id,roi_ustrip_min,roi_ustrip_max,roi_vstrip_min,roi_vstrip_max,roi_u_width,roi_v_width,n_u_entries_inside_roi,n_v_entries_inside_roi,n_u_unique_inside_roi,n_v_unique_inside_roi,n_u_adcpos_entries_inside_roi,n_v_adcpos_entries_inside_roi,n_u_unique_adcpos_inside_roi,n_v_unique_adcpos_inside_roi,n_uv_entries_inside_roi,n_uv_unique_inside_roi,n_uv_adcpos_entries_inside_roi,n_uv_unique_adcpos_inside_roi
452,2499.0,2649.0,2249.0,2461.0,151.0,213.0,31,65,31,65,31,65,31,65,96,96,96,96
458,501.0,849.0,429.0,1094.0,349.0,666.0,106,227,106,227,106,227,106,227,333,333,333,333
461,3511.0,3661.0,2966.0,3178.0,151.0,213.0,30,82,30,82,30,82,30,82,112,112,112,112
462,1353.0,1503.0,1299.0,1511.0,151.0,213.0,52,51,52,51,52,51,52,51,103,103,103,103
465,1976.0,2126.0,1781.0,1993.0,151.0,213.0,32,67,32,67,32,67,32,67,99,99,99,99
467,1311.0,1461.0,904.0,1116.0,151.0,213.0,33,107,33,107,33,107,33,107,140,140,140,140
471,1711.0,1861.0,1472.0,1684.0,151.0,213.0,72,135,72,135,72,135,72,135,207,207,207,207
474,2333.0,2483.0,1632.0,1845.0,151.0,214.0,66,52,66,52,66,52,66,52,118,118,118,118
476,2214.0,2364.0,1642.0,1854.0,151.0,213.0,42,91,42,91,42,91,42,91,133,133,133,133
480,660.0,810.0,522.0,735.0,151.0,214.0,35,33,35,33,35,33,35,33,68,68,68,68
482,2309.0,2459.0,1908.0,2120.0,151.0,213.0,71,61,71,61,71,61,71,61,132,132,132,132
492,1540.0,1690.0,1662.0,1874.0,151.0,213.0,30,87,30,87,30,87,30,87,117,117,117,117
494,3424.0,3574.0,2778.0,2990.0,151.0,213.0,50,68,50,68,50,68,50,68,118,118,118,118
495,1547.0,1697.0,1410.0,1622.0,151.0,213.0,20,57,20,57,20,57,20,57,77,77,77,77
497,771.0,921.0,928.0,1140.0,151.0,213.0,53,52,53,52,53,52,53,52,105,105,105,105
503,755.0,905.0,870.0,1082.0,151.0,213.0,48,80,48,80,48,80,48,80,128,128,128,128
504,1632.0,1782.0,1685.0,1897.0,151.0,213.0,37,90,37,90,37,90,37,90,127,127,127,127
506,2303.0,2453.0,1966.0,2178.0,151.0,213.0,23,84,23,84,23,84,23,84,107,107,107,107
508,1287.0,1437.0,1366.0,1578.0,151.0,213.0,43,68,43,68,43,68,43,68,111,111,111,111
514,2176.0,2326.0,1748.0,1960.0,151.0,213.0,58,102,58,102,58,102,58,102,160,160,160,160
518,746.0,896.0,743.0,955.0,151.0,213.0,56,45,56,45,56,45,56,45,101,101,101,101
523,425.0,766.0,638.0,1266.0,342.0,629.0,61,187,61,187,61,187,61,187,248,248,248,248
528,1915.0,2065.0,1316.0,1528.0,151.0,213.0,40,122,40,122,40,122,40,122,162,162,162,162
535,3327.0,3477.0,2829.0,3041.0,151.0,213.0,49,60,49,60,49,60,49,60,109,109,109,109
537,2925.0,3075.0,2144.0,2356.0,151.0,213.0,38,60,38,60,38,60,38,60,98,98,98,98
549,1203.0,1353.0,974.0,1186.0,151.0,213.0,61,91,61,91,61,91,61,91,152,152,152,152
550,2300.0,2450.0,2314.0,2526.0,151.0,213.0,55,110,55,110,55,110,55,110,165,165,165,165
554,368.0,711.0,651.0,1274.0,344.0,624.0,62,282,62,282,62,282,62,282,344,344,344,344
555,2637.0,2787.0,1881.0,2094.0,151.0,214.0,27,79,27,79,27,79,27,79,106,106,106,106
556,3441.0,3591.0,2985.0,3197.0,151.0,213.0,48,46,48,46,48,46,48,46,94,94,94,94
559,454.0,604.0,418.0,630.0,151.0,213.0,5,17,5,17,5,17,5,17,22,22,22,22
560,752.0,1046.0,1015.0,1591.0,295.0,577.0,69,175,69,175,69,175,69,175,244,244,244,244
561,1507.0,1657.0,1578.0,1790.0,151.0,213.0,21,80,21,80,21,80,21,80,101,101,101,101
568,2642.0,2792.0,2290.0,2502.0,151.0,213.0,85,95,85,95,85,95,85,95,180,180,180,180
573,2108.0,2258.0,2094.0,2307.0,151.0,214.0,34,100,34,100,34,100,34,100,134,134,134,134
574,1070.0,1220.0,1054.0,1266.0,151.0,213.0,93,120,93,120,93,120,93,120,213,213,213,213
